Module Entrys: 17201            Audit Entrys: 3553            
Pid: 12580            Module: recvfrom'        Audit: NOT_FILTERED
Pid: 12580            Module: write            Audit: NOT_FILTERED
Pid: 12580            Module: epoll_wait'      Audit: NOT_FILTERED
Pid: 12580            Module: recvfrom'        Audit: NOT_FILTERED
Pid: 12580            Module: epoll_wait'      Audit: NOT_FILTERED
Pid: 12580            Module: recvfrom'        Audit: NOT_FILTERED
Pid: 12580            Module: write            Audit: NOT_FILTERED
Pid: 12580            Module: epoll_wait'      Audit: NOT_FILTERED
Pid: 12580            Module: recvfrom'        Audit: NOT_FILTERED
Pid: 12580            Module: write            Audit: NOT_FILTERED
Pid: 12580            Module: epoll_wait'      Audit: NOT_FILTERED
Pid: 12580            Module: recvfrom'        Audit: NOT_FILTERED
Pid: 12580            Module: epoll_wait'      Audit: NOT_FILTERED
Pid: 12580            Module: recvfrom'        Audit: NOT_FILTERED
Pid: 12580            Module: write            Audit: NOT_FILTERED
Pid: 12580            Module: epoll_wait'      Audit: NOT_FILTERED
Pid: 12580            Module: recvfrom'        Audit: NOT_FILTERED
Pid: 12580            Module: write            Audit: NOT_FILTERED
Pid: 12580            Module: futex            Audit: NOT_FILTERED
Pid: 12580            Module: epoll_wait'      Audit: NOT_FILTERED
Pid: 12580            Module: futex            Audit: NOT_FILTERED
Pid: 12580            Module: futex            Audit: NOT_FILTERED
Pid: 12628            Module: clone            Audit: 4
Pid: 12628            Module: set_robust_list' Audit: 257
Pid: 12628            Module: mmap             Audit: 72
Pid: 12628            Module: munmap           Audit: 5
Pid: 12628            Module: munmap           Audit: 0
Pid: 12628            Module: mprotect'        Audit: 3
Pid: 12628            Module: clone            Audit: 4
Pid: 12628            Module: set_robust_list' Audit: 257
Pid: 12628            Module: mmap             Audit: 0
Pid: 12628            Module: munmap           Audit: 3
Pid: 12628            Module: mprotect'        Audit: 204
Pid: 12580            Module: recvfrom'        Audit: NOT_FILTERED
Pid: 12580            Module: epoll_wait'      Audit: NOT_FILTERED
Pid: 12580            Module: recvfrom'        Audit: NOT_FILTERED
Pid: 12580            Module: write            Audit: NOT_FILTERED
Pid: 12580            Module: epoll_wait'      Audit: NOT_FILTERED
Pid: 12580            Module: recvfrom'        Audit: NOT_FILTERED
Pid: 12628            Module: munmap           Audit: 9
Pid: 12628            Module: munmap           Audit: 11
Pid: 12628            Module: mprotect'        Audit: 9
Pid: 12628            Module: sigaltstack'     Audit: 9
Pid: 12628            Module: sigaltstack'     Audit: 9
Pid: 12628            Module: rt_sigprocmask'  Audit: 9
Pid: 12628            Module: gettid           Audit: 9
Pid: 12580            Module: write            Audit: NOT_FILTERED
Pid: 12580            Module: epoll_wait'      Audit: NOT_FILTERED
Pid: 12580            Module: recvfrom'        Audit: NOT_FILTERED
Pid: 12580            Module: epoll_wait'      Audit: NOT_FILTERED
Pid: 12580            Module: recvfrom'        Audit: NOT_FILTERED
Pid: 12580            Module: write            Audit: NOT_FILTERED
Pid: 12580            Module: epoll_wait'      Audit: NOT_FILTERED
Pid: 12580            Module: recvfrom'        Audit: NOT_FILTERED
Pid: 12580            Module: write            Audit: NOT_FILTERED
Pid: 12628            Module: pselect6'        Audit: 9
Pid: 12580            Module: epoll_wait'      Audit: NOT_FILTERED
Pid: 12628            Module: pselect6'        Audit: 14
Pid: 12580            Module: recvfrom'        Audit: NOT_FILTERED
Pid: 12580            Module: fsync            Audit: NOT_FILTERED
Pid: 12628            Module: pselect6'        Audit: 131
Pid: 12580            Module: epoll_wait'      Audit: NOT_FILTERED
Pid: 12580            Module: recvfrom'        Audit: NOT_FILTERED
Pid: 12580            Module: write            Audit: NOT_FILTERED
Pid: 12580            Module: epoll_wait'      Audit: NOT_FILTERED
Pid: 12580            Module: recvfrom'        Audit: NOT_FILTERED
Pid: 12580            Module: write            Audit: NOT_FILTERED
Pid: 12580            Module: epoll_wait'      Audit: NOT_FILTERED
Pid: 12580            Module: recvfrom'        Audit: NOT_FILTERED
Pid: 12580            Module: epoll_wait'      Audit: NOT_FILTERED
Pid: 12580            Module: recvfrom'        Audit: NOT_FILTERED
Pid: 12580            Module: write            Audit: NOT_FILTERED
Pid: 12580            Module: epoll_wait'      Audit: NOT_FILTERED
Pid: 12580            Module: recvfrom'        Audit: NOT_FILTERED
Pid: 12580            Module: write            Audit: NOT_FILTERED
Pid: 12580            Module: epoll_wait'      Audit: NOT_FILTERED
Pid: 12580            Module: recvfrom'        Audit: NOT_FILTERED
Pid: 12580            Module: write            Audit: NOT_FILTERED
Pid: 12580            Module: fstatfs'         Audit: NOT_FILTERED
Pid: 12628            Module: sigaltstack'     Audit: 131
Pid: 12628            Module: sigaltstack'     Audit: 14
Pid: 12628            Module: rt_sigprocmask'  Audit: 186
Pid: 12628            Module: gettid           Audit: 13
Pid: 12628            Module: futex            Audit: 13
Pid: 12628            Module: futex            Audit: 13
Pid: 12628            Module: rt_sigprocmask'  Audit: 13
Pid: 12628            Module: mmap             Audit: 13
Pid: 12628            Module: mprotect'        Audit: 13
Pid: 12628            Module: clone            Audit: 13
Pid: 12628            Module: rt_sigprocmask'  Audit: 13
Pid: 12628            Module: pselect6'        Audit: 13
Pid: 12628            Module: pselect6'        Audit: 13
Pid: 12628            Module: pselect6'        Audit: 13
